,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
1337,GOBIERNO REGIONAL,3754,HOSPITAL DE APOYO SAN FRANCISCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,LA MAR,AYNA,50503,AV. HUANTA S/N,5,4,0,AYACUCHO,SAN FRANCISCO,NO PERTENECE A NINGUNA MICRORED,1490,RED DE SALUD SAN FRANCISCO,II-1,066-325083,RESOLUCIÓN,Nº 1513-2012-GRA/GG-GRDS-DIRESA-DR,24 HORAS,18/11/1996,JUAN JANAMPA AUCCASI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.78954,-12.62421833,623.5,26.0,-73.78954,-12.62421833
1439,ESSALUD,10041,HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,CUSCO,WANCHAQ,80108,AV. ANSELMO ALVAREZ S/N,11,0,0,CUSCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,084-237341,RESOLUCIÓN,R.D. N° 02201-2014-DRSC/DGDPH,CONSULTA EXTERNA 8:0,11/02/1999,JUAN ALBERTO MIGUEL SPELUCIN RUNCIMAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.9594642,-13.5244891,,274.0,-71.9594642,-13.5244891
1491,ESSALUD,16374,HOSP. IV AUGUSTO HERNANDEZ MENDOZA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,ICA,ICA,110101,AVENIDA AV. JOSÉ MATIAS MANZANILLA S/N NÚMERO S/N DISTRITO ICA PROVINCIA ICA DEPARTAMENTO ICA ,15,0,0,ICA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,056-223533,RESOLUCIÓN,,24 HORAS,06/08/2010,MARIA ESTHER KUROKI YSHII DE FRANCO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.73803833,-14.06558333,415.7,106.0,-75.73803833,-14.06558333
1550,ESSALUD,9141,CENTRO MEDICO ESPECIALIZADO CASA GRANDE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,ASCOPE,CASA GRANDE,130208,PROLONGACION AV. ATAHUALPA MZ 15 LOTE 01 URB. 8 DE SETIEMBRE,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,044-443456,RESOLUCIÓN,,24 HORAS,14/05/2009,ADRIAN MANUEL ROJAS VERGARA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.1896199,-7.7473482,,10.0,-79.1896199,-7.7473482
1551,SANIDAD DEL EJERCITO DEL PERU,17024,LUIS ARIAS SCHEREIBER - HOSPITAL MILITAR CENTRAL,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,JESUS MARIA,150113,AV FAUSTINO SANCHEZ CARRION S/N (EX. AV PERSHIN S/N),23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,01-2193500,RESOLUCIÓN,,24 HORAS,28/12/1956,VICTOR MANUEL VALLADARES ESQUIVEL ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0619786,-12.0871197,,691.0,-77.0619786,-12.0871197
1649,ESSALUD,9040,HOSPITAL I - LA ESPERANZA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,LA ESPERANZA,130105,JIRÓN LIMA CUADRA 4 SECTOR SANTA VERÓNICA,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,044-271544,RESOLUCIÓN,,24 HORAS,02/08/1987,GILBERT SEGUNDO MIRANDA SALDAÑA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.0540006,-8.0749737,,11.0,-79.0540006,-8.0749737
1664,ESSALUD,16480,HOSPITAL II TARAPOTO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,SAN MARTIN,TARAPOTO,220901,PLAZA MAYOR - TARAPOTO,30,0,0,SAN MARTIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,042-523793,RESOLUCIÓN,,24 HORAS,01/01/1986,JUAN MARTIN RUIZ SOTO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.37693333,-6.49067167,272.8,64.0,-76.37693333,-6.49067167
2056,GOBIERNO REGIONAL,1703,ELEAZAR GUZMAN BARRON,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,SANTA,NUEVO CHIMBOTE,21809,AV. BRASIL S/N URB. SANTA CRISTINA,2,0,0,ANCASH,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,742,REGION ANCASH-SALUD ELEAZAR GUZMAN BARRON,II-2,043-311280,RESOLUCIÓN,0714-2006-REGION-ANCASH-DIRES/OP,24 HORAS,10/01/1981,CARLOS JAVIER VEGA CARRION ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.520213,-9.118993,25.0,150.0,-78.520213,-9.118993
2062,GOBIERNO REGIONAL,2625,TAMBOBAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,APURIMAC,COTABAMBAS,TAMBOBAMBA,30501,"BARRIO PAMPAÑA, SECTOR CHILCAMAYO S/N",3,8,2,APURIMAC,COTABAMBAS,TAMBOBAMBA,1500,RED DE SALUD COTABAMBAS,II-1,TELF.083-830447  RADIO= 7890.0 KHZ OACK - 75,RESOLUCIÓN,,24 HORAS,07/10/2003,ROLANDO MEDINA MEDINA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.18093322,-13.94765337,3278.0,,-72.18093322,-13.94765337
2080,GOBIERNO REGIONAL,6352,HOSPITAL LAMAS,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,LAMAS,LAMAS,220501,OTROS VICTOR RAUL HAYA DE LA TORRE S/N NÚMERO S/N DISTRITO LAMAS PROVINCIA LAMAS DEPARTAMENTO SAN MARTIN ,30,2,1,SAN MARTIN,LAMAS,HOSPITAL LAMAS,930,SALUD SAN MARTIN,II-E,042-543065,RESOLUCIÓN,RD N°112-2013-GRSM/DIRES-SM/DIREFISSA,24 HORAS,01/01/1900,SOCORRO SALDAÑA CARDENAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.51878761,-6.41549003,812.0,16.0,-76.51878761,-6.41549003
2383,GOBIERNO REGIONAL,756,CARLOS SHOWING FERRARI,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANUCO,HUANUCO,AMARILIS,100102,AVENIDA AV. MICAELA BASTIDAS S/N PAUCARBAMBA S/N AV. MICAELA BASTIDAS S/N PAUCARBAMBA AMARILIS HUANUCO HUANUCO ,14,1,6,HUANUCO,HUANUCO,AMARILIS,1247,RED DE SALUD HUANUCO,II-E,(062)-513750 ,RESOLUCIÓN,272-2017-GRH/DIRESA,24 HORAS,21/03/1988,DENNYS ANTONIO TALENAS ROJAS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.2420515,-9.94318605,1953.0,20.0,-76.2420515,-9.94318605
2391,GOBIERNO REGIONAL,6580,HOSPITAL DE TOCACHE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,TOCACHE,TOCACHE,221001,JR. JORGE CHAVEZ S/N C07,30,10,5,SAN MARTIN,TOCACHE,NO PERTENECE A NINGUNA MICRORED,1060,SALUD ALTO HUALLAGA,II-1,ACTUALIZAR,RESOLUCIÓN,RD N° 543-2014-GRSM/DIRES-SM/DIREFISSA,7:00 - 18:00,01/01/1900,HUMBERTO GREGORIO ARCE ALVAREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.51359467,-8.19046675,516.0,49.0,-76.51359467,-8.19046675
2575,ESSALUD,8671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,COMAS,150110,AV. GUILLERMO DE LA FUENTE NO 515 URB. SANTA LUZMILA,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,5374552 / 5374316 /5374313,RESOLUCIÓN,,24 HORAS,25/05/2000,CARLOS RODOLFO CUADROS LLUNCOR ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.058242,-11.9438086,,106.0,-77.058242,-11.9438086
2620,ESSALUD,9600,HOSPITAL  ESSALUD PUCALLPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,AV.LLOQUE YUPANQUI  510,34,0,0,UCAYALI,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,576104,RESOLUCIÓN,,24 HORAS,03/12/1991,ESLY VICENTE ANDERSON MOTTA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.54646167,-8.39115833,143.3,90.0,-74.54646167,-8.39115833
2621,GOBIERNO REGIONAL,754,HOSPITAL REGIONAL HERMILIO VALDIZAN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,HUANUCO,HUANUCO,HUANUCO,100101,JIRÓN JR. HERMILIO VALDIZAN N° 950 JR. HERMILIO VALDIZAN N° 950 HUANUCO HUANUCO HUANUCO ,14,0,0,HUANUCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,812,HOSPITAL HERMILIO VALDIZAN,II-2,62518139,RESOLUCIÓN,936-2011--GRH-DG/DESP/DSS,24 HORAS,01/01/1900,ESLY VICENTE ANDERSON MOTTA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.236176,-9.927955,1894.0,136.0,-76.236176,-9.927955
2687,GOBIERNO REGIONAL,5306,HOSPITAL PROVINCIAL DE JULCAN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,JULCAN,JULCAN,130501,JIRÓN JR CAPULY S/N JULCAN NÚMERO S/N DISTRITO JULCAN PROVINCIA JULCAN DEPARTAMENTO LA LIBERTAD ,18,12,1,LA LIBERTAD,RED JULCAN,JULCAN,1616,SALUD JULCAN,II-1,949957396,RESOLUCIÓN,RGR 1002-2011-GRLL-GGR/GRS,8:00 - 19:00 / EMERG,22/03/1999,SAMUEL OBED DIAZ DEXTRE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.48468033,-8.04216655,3409.745,15.0,-78.48468033,-8.04216655
2743,GOBIERNO REGIONAL,442,SAN MARTIN DE PANGOA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,SATIPO,PANGOA,120606,AV. PANGOA S/N ESQUINA CON AV. ESPAÑA,17,8,0,JUNIN,SAN MARTIN DE PANGOA,NO PERTENECE A NINGUNA MICRORED,1613,GOB. REG. DE JUNIN - RED DE SALUD SAN MARTIN DE PANGOA,II-1,064-543030,RESOLUCIÓN,522-2010-DRSJ/OEGDRH,24 HORAS,01/01/1994,CESAR DAVID CURAHUA SANTIAGO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.49077226,-11.42780367,804.0,18.0,-74.49077226,-11.42780367
2783,GOBIERNO REGIONAL,1908,SAÚL GARRIDO ROSILLO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,TUMBES,TUMBES,TUMBES,240101,CALLE 24 DE JULIO N° 565 TUMBES,33,1,0,TUMBES,TUMBES,NO PERTENECE A NINGUNA MICRORED,940,SALUD TUMBES,II-1,72524775,RESOLUCIÓN,N 1048-2015-GOBIERNO REGIONAL TUMBES-DRST-DR,24 HORAS,23/05/1964,JOSE ANTONIO TORRES YNFANTE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.4557269,-3.56270287,,118.0,-80.4557269,-3.56270287
